CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2025-12-31;10;152363;BCO BRASIL S.A.;Liderança;732;22437;1232;7040;45;0;0
00.000.000/0001-91;2025-12-31;10;152363;BCO BRASIL S.A.;Não-liderança;1820;38340;2300;12515;108;0;5
00.000.208/0001-00;2025-12-31;14;152107;BRB BANCO DE BRASILIA S.A.;Liderança;17;398;47;289;2;0;12
00.000.208/0001-00;2025-12-31;14;152107;BRB BANCO DE BRASILIA S.A.;Não-liderança;70;1440;143;892;7;0;42
00.001.180/0001-26;2025-12-31;9;151070;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Liderança;8;466;21;140;2;0;17
00.001.180/0001-26;2025-12-31;9;151070;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Não-liderança;73;3511;414;2917;17;0;124
00.070.698/0001-11;2025-12-31;5;152231;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Liderança;1;26;4;13;0;0;0
00.070.698/0001-11;2025-12-31;5;152231;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Não-liderança;0;34;5;30;0;0;2
00.080.671/0001-00;2025-12-31;6;152170;CARAMURU ALIMENTOS S.A.;Liderança;3;143;7;65;1;0;0
00.080.671/0001-00;2025-12-31;6;152170;CARAMURU ALIMENTOS S.A.;Não-liderança;38;911;220;1025;2;0;11
00.194.724/0001-13;2025-12-31;6;151945;AUREN OPERAÇÕES S.A.;Liderança;2;34;3;7;0;2;0
00.194.724/0001-13;2025-12-31;6;151945;AUREN OPERAÇÕES S.A.;Não-liderança;10;269;33;150;1;14;0
00.242.184/0001-04;2025-12-31;6;150049;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Liderança;4;286;47;232;0;0;0
00.242.184/0001-04;2025-12-31;6;150049;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Não-liderança;72;1909;636;2635;15;0;0
00.336.701/0001-04;2025-12-31;5;152056;TELEC BRASILEIRAS S.A. TELEBRAS;Liderança;1;39;0;6;0;0;8
00.336.701/0001-04;2025-12-31;5;152056;TELEC BRASILEIRAS S.A. TELEBRAS;Não-liderança;6;167;16;119;0;0;29
